number,file,previous_image,alt_text
60,"pages/blog/miami-beach-sliding-door-care.html",8.jpg,"Miami Beach Sliding Door Care Guide"
61,"pages/blog/multi-point-locks-impact-doors.html",5.jpg,"Multi-Point Locks on Impact Sliding Doors"
62,"pages/blog/palm-beach-luxury-door-systems.html",10.jpg,"Palm Beach Luxury Sliding Door Systems"
63,"pages/blog/pet-hair-sand-door-tracks.html",3.jpg,"Pet Hair, Sand and Sliding Door Tracks"
64,"pages/blog/salt-air-rollers.html",2.jpg,"How Salt Air Destroys Your Sliding Door Rollers"
65,"pages/blog/screen-door-vs-sliding-glass-door.html",6.jpg,"Screen Door Problems vs Sliding Glass Door Problems"
66,"pages/blog/sliding-door-hard-to-open.html",2.jpg,"Why a Sliding Door Gets Hard to Open"
67,"pages/blog/sliding-door-lock-wont-catch.html",5.jpg,"Why Your Sliding Door Lock Will Not Catch"
68,"pages/blog/track-drainage-water-intrusion.html",3.jpg,"Track Drainage and Water Intrusion Explained"
69,"pages/blog/west-palm-beach-window-repair-guide.html",10.jpg,"West Palm Beach Window Repair Guide"
70,"pages/blog/when-to-repair-vs-replace-door.html",1.jpg,"Repair or Replace a Sliding Glass Door?"
71,"pages/broward.html",9.jpg,"Sliding door and window repair in Broward County"
72,"pages/business-cards.html",1.jpg,"Business Cards"
73,"pages/cities/aventura.html",8.jpg,"Sliding door and window repair in Aventura Florida"
74,"pages/cities/boca-raton.html",10.jpg,"Sliding door and window repair in Boca Raton Florida"
75,"pages/cities/coral-gables.html",8.jpg,"Sliding door and window repair in Coral Gables Florida"
76,"pages/cities/coral-springs.html",9.jpg,"Sliding door and window repair in Coral Springs Florida"
77,"pages/cities/delray-beach.html",10.jpg,"Sliding door and window repair in Delray Beach Florida"
78,"pages/cities/doral.html",8.jpg,"Sliding door and window repair in Doral Florida"
79,"pages/cities/fort-lauderdale.html",9.jpg,"Sliding door and window repair in Fort Lauderdale Florida"
80,"pages/cities/hialeah.html",8.jpg,"Sliding door and window repair in Hialeah Florida"
81,"pages/cities/hollywood.html",9.jpg,"Sliding door and window repair in Hollywood Florida"
82,"pages/cities/homestead.html",8.jpg,"Sliding door and window repair in Homestead Florida"
83,"pages/cities/jupiter.html",10.jpg,"Sliding door and window repair in Jupiter Florida"
84,"pages/cities/kendall.html",8.jpg,"Sliding door and window repair in Kendall Florida"
85,"pages/cities/miami-beach.html",8.jpg,"Sliding door and window repair in Miami Beach Florida"
86,"pages/cities/miami.html",8.jpg,"Sliding door and window repair in Miami Florida"
87,"pages/cities/palm-beach-gardens.html",10.jpg,"Sliding door and window repair in Palm Beach Gardens Florida"
88,"pages/cities/pembroke-pines.html",9.jpg,"Sliding door and window repair in Pembroke Pines Florida"
89,"pages/cities/west-palm-beach.html",10.jpg,"Sliding door and window repair in West Palm Beach Florida"
90,"pages/cities/weston.html",9.jpg,"Sliding door and window repair in Weston Florida"
91,"pages/contact.html",8.jpg,"Free Estimate"
92,"pages/faq.html",1.jpg,"Questions Answered"
93,"pages/florida-keys.html",11.jpg,"Sliding door and window repair in Florida Keys"
94,"pages/hoa-commercial.html",7.jpg,"HOA and commercial sliding door repair in South Florida"
95,"pages/impact-glass.html",4.jpg,"Impact glass repair and replacement in South Florida"
96,"pages/lock-security.html",5.jpg,"Sliding door lock and security repair in South Florida"
97,"pages/miami-dade.html",8.jpg,"Sliding door and window repair in Miami-Dade County"
98,"pages/palm-beach.html",10.jpg,"Sliding door and window repair in Palm Beach County"
99,"pages/privacy.html",1.jpg,"Privacy Policy"
100,"pages/reviews.html",1.jpg,"What South Florida Says"
101,"pages/roller-replacement.html",2.jpg,"Sliding glass door roller replacement in South Florida"
102,"pages/services.html",2.jpg,"Sliding door and window repair services in South Florida"
103,"pages/terms.html",1.jpg,"Terms of Service"
104,"pages/track-repair.html",3.jpg,"Sliding glass door track repair in South Florida"
105,"pages/window-repair.html",6.jpg,"Window repair in South Florida"
